DicTerm,DAV,IAV,SV
interfering,,X,
intern,,X,
interned,,X,
interning,,X,
interns,,X,
interpret,,X,
interpreted,,X,
interprets,,X,
interpretting,,X,
interrupt,,X,
interrupted,,X,
interrupting,,X,
interrupts,,X,
intertwine,,X,
intertwined,,X,
intertwines,,X,
intertwining,,X,
intervene,,X,
intervened,,X,
intervenes,,X,
intervening,,X,
interview,,X,
interviewed,,X,
interviewing,,X,
interviews,,X,
intimidate,,,X
intimidated,,,X
intimidates,,,X
intimidating,,,X
intoxicate,,X,
intoxicated,,X,
intoxicates,,X,
intoxicating,,X,
intrigue,,X,
intrigued,,X,
intrigues,,X,
introduce,,X,
introduced,X,,
introduces,,X,
introducing,,X,
intrude,,X,
intruded,,X,
intrudes,,X,
intruding,,X,
inundate,,X,
inundated,,X,
inundates,,X,
invade,,X,
invaded,,X,
invades,,X,
invading,,X,
invent,,X,
invented,,X,
inventing,,X,
invents,,X,
invest,,X,
invested,,X,
investigate,,X,
investigated,,X,
investigates,,X,
investigating,,X,
investing,,X,
invests,,X,
invite,,X,
invited,X,,
invites,,X,
inviting,,X,
involve,,X,
involved,,X,
involves,,X,
involving,,X,
irk,,X,
irked,,X,
irking,,X,
irks,,X,
iron,X,,
ironed,X,,
ironing,X,,
irons,X,,
irritate,,,X
irritated,,,X
irritates,,,X
irritating,,,X
isolate,,X,
isolated,,X,
isolates,,X,
isolating,,X,
issue,,X,
issued,,X,
issues,,X,
issuing,,X,
itch,X,,
itched,X,,
itches,X,,
itching,X,,
jab,X,,
jabbed,X,,
jabbing,X,,
jabs,X,,
jail,X,,
jailed,X,,
jailing,X,,
jails,X,,
jam,,X,
jammed,,X,
jamming,,X,
jams,,X,
jar,,X,
jarred,,X,
jarring,,X,
jars,,X,
jeopardize,,X,
jeopardized,,X,
jeopardizes,,X,
jeopardizing,,X,
jerk,,X,
jerked,,X,
jerking,,X,
jerks,,X,
jest,,X,
jested,,X,
jesting,,X,
jests,,X,
jog,X,,
jogged,X,,
jogging,X,,
jogs,X,,
join,,,X
joined,,,X
joining,,X,
joins,,X,
joke,X,,
joked,X,,
jokes,X,,
joking,X,,
journey,,X,
journeyed,,X,
journeying,,X,
journeys,,X,
judge,,X,
judged,,X,
judges,,X,
judging,,X,
juggle,X,,
juggled,X,,
juggles,X,,
juggling,X,,
jump,X,,
jumped,X,,
jumping,X,,
jumps,X,,
justified,,X,
justifies,,X,
justify,,X,
justifying,,X,
keep,,X,
keeping,,X,
keeps,,X,
kept,,X,
kick,,X,
kicked,,X,
kicking,,X,
kicks,X,,
kid,,X,
kidding,,X,
kidnap,,X,
kidnapped,,X,
kidnapping,,X,
kidnaps,,X,
kids,,X,
kill,X,,
killed,X,,
killing,X,,
kills,X,,
kiss,X,,
kissed,X,,
kisses,X,,
kissing,X,,
kneel,X,,
kneeled,X,,
kneeling,X,,
kneels,X,,
knelt,X,,
knew,,X,
knife,X,,
knifed,X,,
knifes,X,,
knifing,X,,
knit,X,,
knits,X,,
knitted,X,,
knitting,X,,
knock,X,,
knocked,,,X
knocking,X,,
knocks,X,,
knot,X,,
knots,X,,
knotted,X,,
knotting,X,,
know,,,X
knowing,,X,
known,,X,
knows,,X,
label,X,,
labeled,X,,
labeling,X,,
labels,X,,
labor,,X,
labored,,X,
laboring,,X,
labors,,X,
lack,,X,
lacked,,X,
lacking,,X,
lacks,,X,
lag,,X,
lagged,,X,
lagging,,X,
lags,,X,
laid,,,X
land,X,,
landed,X,,
landing,X,,
lands,X,,
last,,X,
lasted,,X,
lasting,,X,
lasts,,X,
laugh,,,X
laughed,,,X
laughing,,,X
laughs,,,X
launch,X,,
launched,X,,
launches,X,,
launching,X,,
lay,,,X
laying,,,X
lays,,,X
lead,,X,
leaded,,X,
leading,,X,
leads,,X,
league,,X,
leagues,,X,
leak,,X,
leaked,,X,
leaking,,X,
leaks,,X,
lean,,,X
leaned,,,X
leaning,,,X
leans,,,X
leap,X,,
leaped,X,,
leaping,X,,
leapt,X,,
learn,,X,
learned,,X,
learning,,X,
learns,,X,
learnt,,X,
leave,X,,
leaves,X,,
leaving,X,,
lecture,X,,
lectured,X,,
lectures,X,,
lecturing,X,,
led,,X,
left,X,,
lend,,X,
lending,,X,
lends,,X,
lent,,X,
lept,X,,
let,,X,
lets,,X,
letter,X,,
lettered,X,,
lettering,X,,
letters,X,,
letting,,X,
level,X,,
leveled,X,,
leveling,X,,
levels,X,,
liberate,,X,
liberated,,X,
liberates,,X,
liberating,,X,
license,,X,
licensed,,X,
licenses,,X,
licensing,,X,
lick,X,,
licked,X,,
licking,X,,
licks,X,,
lied,X,,
lies,X,,
lift,X,,
lifted,X,,
lifting,X,,
lifts,X,,
light,X,,
lighted,X,,
lighten,,X,
lightened,,X,
lightening,,X,
lightens,,X,
lighting,X,,
like,,,X
liked,,,X
likes,,,X
liking,,,X
limit,,X,
limited,,X,
limiting,,X,
limits,,X,
line,X,,
lined,,X,
lines,X,,
linger,,X,
lingered,,X,
lingering,,X,
lingers,,X,
lining,X,,
link,,X,
linked,,X,
linking,,X,
links,,X,
liquidate,,X,
liquidated,,X,
liquidates,,X,
liquidating,,X,
list,X,,
listed,X,,
listen,X,,
listened,X,,
listening,X,,
listens,X,,
listing,X,,
lists,X,,
lives,X,,
living,X,,
load,X,,
loaded,X,,
loading,X,,
loads,X,,
loan,X,,
loaned,X,,
loaning,X,,
loans,X,,
locate,,X,
located,,X,
locates,,X,
locating,,X,
lock,X,,
locked,X,,
locking,X,,
locks,X,,
long,,,X
longed,,,X
longing,,,X
longs,,,X
looking,X,,
looks,X,,
loom,,X,
loomed,,X,
looming,,X,
looms,,X,
loose,X,,
loosed,X,,
looses,X,,
loosing,X,,
lose,X,,
loses,,X,
losing,,X,
lost,X,,
loves,,,X
loving,,,X
lower,X,,
lowered,X,,
lowering,X,,
lowers,X,,
lure,,X,
lured,,X,
lures,,X,
luring,,X,
lurk,,X,
lurked,,X,
lurking,,X,
lurks,,X,
lying,X,,
made,,X,
magnified,,X,
magnifies,,X,
magnify,,X,
magnifying,,X,
mail,X,,
mailed,X,,
mailing,X,,
mails,X,,
maintain,,X,
maintained,,X,
maintaining,,X,
maintains,,X,
major,,X,
majored,,X,
majoring,,X,
majors,,X,
make,,X,
makes,,X,
making,,X,
man,,X,
manage,,X,
managed,,X,
manages,,X,
managing,,X,
maneuver,,X,
maneuvered,,X,
maneuvering,,X,
maneuvers,,X,
manipulate,,X,
manipulated,,X,
manipulates,,X,
manipulating,,X,
manned,,X,
manning,,X,
manufacture,,X,
manufactured,,X,
manufactures,,X,
manufacturing,,X,
march,X,,
marched,X,,
marches,X,,
marching,X,,
mark,X,,
marked,,,X
marking,X,,
marks,X,,
married,X,,
marries,X,,
marry,X,,
marrying,X,,
marvel,,X,
marveled,,X,
marveling,,X,
marvels,,X,
mass,X,,
massacre,,X,
massacred,,X,
massacres,,X,
massacring,,X,
massed,X,,
masses,X,,
massing,X,,
master,,X,
mastered,,X,
mastering,,X,
masters,,X,
match,,X,
matched,,X,
matches,,X,
matching,,X,
mate,X,,
mated,X,,
mates,X,,
mating,X,,
matter,,X,
mattered,,,X
mattering,,,X
matters,,,X
mature,,X,
matured,,,X
matures,,,X
maturing,,,X
maximize,,X,
maximized,,X,
maximizes,,X,
maximizing,,X,
mean,,X,
meaning,,X,
means,,X,
meant,,X,
measure,,X,
measured,,X,
measures,,X,
measuring,,X,
meddle,,X,
meddled,,X,
meddles,,X,
meddling,,X,
mediate,,X,
mediated,,X,
mediates,,X,
mediating,,X,
meet,,,X
meeting,X,,
meets,X,,
melt,X,,
melted,X,,
melting,X,,
melts,X,,
memorize,,X,
memorized,,X,
memorizes,,X,
memorizing,,X,
mend,,X,
mended,,X,
mending,,X,
mends,,X,
mention,X,,
mentioned,,X,
mentioning,X,,
mentions,X,,
merit,,X,
merited,,X,
meriting,,X,
merits,,X,
mesh,,X,
meshed,,X,
meshes,,X,
meshing,,X,
mess,,X,
messed,,X,
messes,,X,
messing,,X,
met,,,X
might,,,X
milk,X,,
milked,X,,
milking,X,,
milks,X,,
mill,,X,
milled,,X,
milling,,X,
mills,,X,
mind,,X,
minded,,X,
minding,,X,
minds,,X,
mine,X,,
mined,X,,
mines,X,,
mingle,,X,
mingled,,X,
mingles,,X,
mingling,,X,
minimize,,X,
minimized,,X,
minimizes,,X,
minimizing,,X,
mining,X,,
minister,,X,
ministered,,X,
ministering,,X,
ministers,,X,
misbehave,,X,
misbehaved,,X,
misbehaves,,X,
misbehaving,,X,
mishandle,,X,
mishandled,,X,
mishandles,,X,
mishandling,,X,
misinform,,X,
misinformed,,X,
misinforming,,X,
misinforms,,X,
mislaid,,X,
mislay,,X,
mislaying,,X,
mislays,,X,
mislead,,X,
misleading,,X,
misleads,,X,
misled,,X,
misrepresent,,X,
miss,,X,
missed,,X,
misses,,,X
missing,,,X
misspeak,,X,
misspeaking,,X,
misspeaks,,X,
misspend,X,,
misspending,X,,
misspends,X,,
misspent,X,,
misspoke,,X,
misspoken,,X,
mistake,,X,
mistaken,,X,
mistakes,,X,
mistook,,X,
mistrust,,X,
mistrusted,,X,
mistrusting,,X,
mistrusts,,X,
misunderstand,,,X
misunderstanding,,,X
misunderstands,,,X
misunderstood,,,X
mitigate,,X,
mitigated,,X,
mitigates,,X,
mitigating,,X,
mix,,X,
mixed,,X,
mixes,,X,
mixing,,X,
moan,X,,
moaned,X,,
moaning,X,,
moans,X,,
mobilize,,X,
mobilized,,X,
mobilizes,,X,
mobilizing,,X,
mock,,X,
mocked,,X,
mocking,,X,
mocks,,X,
moderate,,X,
moderated,,X,
moderates,,X,
moderating,,X,
modified,,X,
modifies,,X,
modify,,X,
modifying,,X,
mold,,X,
molded,,X,
molding,,X,
molds,,X,
molest,,X,
molested,,X,
molesting,,X,
molests,,X,
molten,X,,
monitor,,X,
monitored,,X,
monitoring,,X,
monitors,,X,
moor,X,,
moored,X,,
mooring,X,,
moors,X,,
mortgage,,X,
mortgaged,,X,
mortgages,,X,
mortified,,X,
mortifies,,X,
mortify,,X,
mortifying,,X,
motivate,,X,
motivated,,X,
motivates,,X,
motivating,,X,
mount,,X,
mounted,,X,
mounting,,X,
mounts,,X,
mourn,,,X
mourned,,,X
mourning,,,X
mourns,,,X
mouth,X,,
mouthed,X,,
mouthing,X,,
mouths,X,,
move,X,,
moved,X,,
moves,X,,
moving,X,,
mow,X,,
mowed,X,,
mowing,X,,
mown,X,,
mows,X,,
muddle,,X,
muddled,,X,
muddles,,X,
muddling,,X,
muffle,,X,
muffled,,X,
muffles,,X,
muffling,,X,
mug,X,,
mugged,X,,
mugging,X,,
mugs,X,,
multiplied,,X,
multiplies,,X,
multiply,,X,
multiplying,,X,
mumble,X,,
mumbled,X,,
mumbles,X,,
mumbling,X,,
murder,X,,
murdered,X,,
murdering,X,,
murders,X,,
murmur,X,,
murmured,X,,
murmuring,X,,
murmurs,X,,
must,,,X
muster,,X,
mustered,,X,
mustering,,X,
musters,,X,
mutter,X,,
muttered,X,,
muttering,X,,
mutters,X,,
nag,,X,
nagged,,X,
nagging,,X,
nags,,X,
nail,X,,
nailed,X,,
nailing,X,,
nails,X,,
name,X,,
named,X,,
names,X,,
naming,X,,
nap,X,,
napped,X,,
napping,X,,
naps,X,,
navigate,,X,
navigated,,X,
navigates,,X,
navigating,,X,
near,,X,
neared,,X,
nearing,,X,
nears,,X,
necessitate,,X,
need,,,X
needed,,,X
needing,,,X
needle,X,,
needled,X,,
needles,X,,
needling,X,,
needs,,,X
negate,,X,
negated,,X,
negates,,X,
negating,,X,
neglect,,X,
neglected,,X,
neglecting,,X,
neglects,,X,
negotiate,,X,
negotiated,,X,
negotiates,,X,
negotiating,,X,
nest,X,,
nested,X,,
nesting,X,,
nests,X,,
neutralize,,X,
neutralized,,X,
neutralizes,,X,
neutralizing,,X,
nibble,X,,
nibbled,X,,
nibbles,X,,
nibbling,X,,
nix,,X,
nixed,,X,
nixes,,X,
nixing,,X,
nod,X,,
nodded,X,,
nodding,X,,
nods,X,,
nominate,X,,
nominated,X,,
nominates,X,,
nominating,X,,
note,,X,
noted,,X,
notes,,X,
notice,,X,
noticed,,X,
notices,,X,
noticing,,X,
noting,,X,
nourish,,X,
nourished,,X,
nourishes,,X,
nourishing,,X,
nullified,,X,
nullifies,,X,
nullify,,X,
nullifying,,X,
number,X,,
numbered,X,,
numbering,X,,
numbers,X,,
nurse,,X,
nursed,,X,
nurses,,X,
nursing,,X,
nurture,,X,
nurtured,,X,
nurtures,,X,
nurturing,,X,
obey,,X,
obeyed,,X,
obeying,,X,
obeys,,X,
object,,X,
objected,,X,
objecting,,X,
objects,,X,
obligate,,X,
obligated,,X,
obligates,,X,
obligating,,X,
oblige,,,X
obliged,,,X
obliges,,,X
obliging,,,X
obliterate,,X,
obliterated,,X,
obliterates,,X,
obliterating,,X,
observe,,X,
observed,,X,
observes,,X,
observing,,X,
obsess,,,X
obsessed,,,X
obsesses,,,X
obsessing,,,X
obstruct,,X,
obstructed,,X,
obstructing,,X,
obstructs,,X,
obtain,,X,
obtained,,X,
obtaining,,X,
obtains,,X,
occupy,,X,
occur,,X,
occurred,,X,
occurring,,X,
occurs,,X,
offend,,,X
offended,,,X
offending,,,X
offends,,,X
offer,,X,
offered,,X,
offering,,X,
offers,,X,
offset,,X,
offsets,,X,
offsetting,,X,
omit,,X,
omits,,X,
omitted,,X,
omitting,,X,
open,X,,
opened,X,,
opening,,X,
opens,,X,
operate,X,,
operated,X,,
operates,X,,
operating,X,,
oppose,,X,
opposed,,X,
opposes,,X,
opposing,,X,
oppress,,X,
oppressed,,X,
oppresses,,X,
oppressing,,X,
order,,X,
ordered,,X,
ordering,,X,
orders,,X,
organize,,X,
organizes,,X,
organizing,,X,
orient,,X,
oriented,,X,
orienting,,X,
orients,,X,
originate,,X,
originated,,X,
originates,,X,
originating,,X,
ornament,X,,
ornamented,X,,
ornamenting,X,,
ornaments,X,,
ostracize,,,X
ostracized,,,X
ostracizes,,,X
ostracizing,,,X
ought,,,X
oust,,X,
ousted,,X,
ousting,,X,
ousts,,X,
outfit,X,,
outfits,X,,
outfitting,X,,
outline,,X,
outlined,,X,
outlines,,X,
outlining,,X,
outlive,X,,
outlived,X,,
outlives,X,,
outliving,X,,
output,,X,
outputs,,X,
outputting,,X,
outran,X,,
outrun,X,,
outrunning,X,,
outruns,X,,
outwit,,X,
outwits,,X,
outwitted,,X,
outwitting,,X,
overcame,,X,
overcomes,,X,
overcoming,,X,
overflow,,X,
overflowed,,X,
overflowing,,X,
overflows,,X,
overhaul,,X,
overhauled,,X,
overhauling,,X,
overhauls,,X,
overjoyed,,,X
overlook,,X,
overlooked,,X,
overlooking,,X,
overlooks,,X,
overpower,,X,
overpowered,,X,
overpowering,,X,
overpowers,,X,
overran,X,,
overrun,X,,
overrunning,X,,
overruns,X,,
overthrew,X,,
overthrow,X,,
overthrowing,X,,
overthrows,X,,
overturn,X,,
overturned,X,,
overturning,X,,
overturns,X,,
overwhelm,,,X
overwhelming,,,X
overwhelms,,,X
owe,,X,
owed,,X,
owes,,X,
owing,,X,
own,X,,
owned,X,,
owning,,X,
owns,,X,
pace,X,,
paced,X,,
paces,X,,
pacing,X,,
pack,X,,
packed,X,,
packing,X,,
packs,X,,
paddle,X,,
paddled,X,,
paddles,X,,
paddling,X,,
page,X,,
paged,X,,
pages,X,,
paging,X,,
paid,X,,
pain,,,X
pained,,,X
paining,,,X
pains,,,X
paint,X,,
painted,X,,
painting,X,,
paints,X,,
pair,,X,
paired,,X,
pairing,,X,
pairs,,X,
pamper,,X,
pampered,,X,
pampering,,X,
pampers,,X,
pan,X,,
panic,,,X
panicked,,,X
panicking,,,X
panics,,,X
panned,X,,
panning,X,,
pans,X,,
parachute,X,,
parachuted,X,,
parachutes,X,,
parachuting,X,,
parade,X,,
paraded,X,,
parades,X,,
parading,X,,
paralyze,,X,
paralyzed,,X,
paralyzes,,X,
paralyzing,,X,
pardon,X,,
pardoned,X,,
pardoning,X,,
pardons,X,,
parent,,X,
parented,,X,
parenting,,X,
parents,,X,
park,X,,
parked,X,,
parking,X,,
parks,X,,
part,,X,
partake,,X,
partakes,,X,
partaking,,X,
parted,,X,
participate,X,,
participated,,X,
participates,,X,
participating,,X,
partied,,X,
parties,,X,
parting,,X,
partition,,X,
partitioned,,X,
partitioning,,X,
partitions,,X,
parts,,X,
party,,X,
partying,,X,
pass,X,,
passed,X,,
passes,,X,
passing,,X,
paste,X,,
pasted,X,,
pastes,X,,
pasting,X,,
pat,X,,
patch,X,,
patched,X,,
patches,X,,
patching,X,,
patrol,,X,
patrolled,,X,
patrolling,,X,
patrols,,X,
patronize,,,X
patronized,,,X
patronizes,,,X
patronizing,,,X
pats,X,,
patted,X,,
patting,X,,
pause,,X,
paused,,X,
pauses,,X,
pausing,,X,
pay,X,,
paying,X,,
pays,X,,
peak,X,,
peaked,X,,
peaking,X,,
peaks,X,,
peck,X,,
pecked,X,,
pecking,X,,
pecks,X,,
pedal,X,,
pedaled,X,,
pedaling,X,,
pedals,X,,
peel,X,,
peeled,X,,
peeling,X,,
peels,X,,
peep,X,,
peeped,X,,
peeping,X,,
peeps,X,,
pen,X,,
pend,,X,
pended,,X,
pending,,X,
pends,,X,
penetrate,X,,
penetrated,X,,
penetrates,X,,
penetrating,X,,
penned,X,,
penning,X,,
pens,X,,
people,X,,
peopled,X,,
peoples,X,,
peopling,X,,
perceives,,X,
perceiving,,X,
perfect,,X,
perfected,,X,
perfecting,,X,
perfects,,X,
perform,X,,
performed,X,,
performing,,X,
performs,,X,
perish,,X,
perished,,X,
perishes,,X,
perishing,,X,
permit,,X,
permits,,X,
permitted,,X,
permitting,,X,
perpetuate,,X,
perpetuated,,X,
perpetuates,,X,
perpetuating,,X,
perplex,,,X
perplexed,,,X
perplexes,,,X
perplexing,,,X
persecute,,X,
persecuted,,X,
persecutes,,X,
persecuting,,X,
persevere,,X,
persevered,,X,
perseveres,,X,
persevering,,X,
persist,,X,
persisted,,X,
persisting,,X,
persists,,X,
persuade,,X,
persuaded,,X,
persuades,,X,
persuading,,X,
pertain,,X,
pertained,,X,
pertaining,,X,
pertains,,X,
perturb,,,X
perturbed,,,X
perturbing,,,X
perturbs,,,X
pet,X,,
petition,,X,
petitioned,,X,
petitioning,,X,
petitions,,X,
pets,X,,
petted,X,,
petting,X,,
phone,X,,
phoned,X,,
phones,X,,
phoning,X,,
photograph,X,,
photographed,X,,
photographing,X,,
photographs,X,,
pick,X,,
picked,X,,
picking,X,,
picks,X,,
picture,,X,
pictured,,X,
pictures,,X,
picturing,,X,
piece,X,,
pieced,X,,
pieces,X,,
piecing,X,,
pile,X,,
piled,X,,
piles,X,,
piling,X,,
pin,X,,
pinch,X,,
pinched,X,,
pinches,X,,
pinching,X,,
pine,,,X
pines,,,X
pinned,,,X
pinning,,,X
pins,X,,
piss,,,X
pissed,,,X
pisses,,,X
pissing,,,X
pit,X,,
pitch,X,,
pitched,X,,
pitches,X,,
pitching,X,,
pits,X,,
pitted,X,,
pitting,X,,
placate,,X,
placated,,X,
placates,,X,
placating,,X,
place,X,,
placed,X,,
places,,X,
placing,,X,
plague,,X,
plagued,,X,
plagues,,X,
plaguing,,X,
plan,,X,
plane,X,,
planed,X,,
planes,X,,
planing,X,,
planned,,X,
planning,,X,
plans,,X,
plant,X,,
planted,X,,
planting,X,,
plants,X,,
play,X,,
played,X,,
playing,X,,
plays,X,,
plead,X,,
pleaded,X,,
pleading,X,,
pleads,X,,
please,,,X
pleased,,,X
pleases,,,X
pleasing,,,X
pled,X,,
pledge,,X,
pledged,,X,
pledges,,X,
pledging,,X,
plod,X,,
plodded,X,,
plodding,X,,
plods,X,,
plot,,X,
plots,,X,
plotted,,X,
plotting,,X,
plow,X,,
plowed,X,,
plowing,X,,
plows,X,,
plug,X,,
plugged,X,,
plugging,X,,
plugs,X,,
plunge,X,,
plunged,X,,
plunges,X,,
plunging,X,,
point,X,,
pointed,X,,
pointing,X,,
points,X,,
poise,,X,
poised,,X,
poises,,X,
poising,,X,
poke,X,,
poked,X,,
pokes,X,,
poking,X,,
polish,X,,
polished,X,,
polishes,X,,
polishing,X,,
pollute,,X,
polluted,,X,
pollutes,,X,
polluting,,X,
ponder,,,X
pondered,,,X
pondering,,,X
ponders,,,X
pool,,X,
pooled,,X,
pooling,,X,
pools,,X,
pop,X,,
popped,X,,
popping,X,,
pops,X,,
populate,X,,
populated,X,,
populates,X,,
populating,X,,
portray,,X,
portrayed,,X,
portraying,,X,
portrays,,X,
pose,X,,
posed,X,,
poses,X,,
posing,X,,
posses,X,,
possess,X,,
possessed,X,,
possesses,,X,
possessing,,X,
post,,X,
posted,X,,
posting,,X,
postpone,,X,
postponed,,X,
postpones,,X,
postponing,,X,
posts,,X,
pound,X,,
pounded,X,,
pounding,X,,
pounds,X,,
pour,X,,
poured,X,,
pouring,X,,
pours,X,,
practice,,X,
practiced,,X,
practices,,X,
practicing,,X,
praise,,,X
praised,,,X
praises,,,X
praising,,,X
prance,X,,
pranced,X,,
prances,X,,
prancing,X,,
pray,X,,
prayed,X,,
praying,X,,
prays,X,,
preach,X,,
preached,X,,
preaches,X,,
preaching,X,,
precede,,X,
preceded,,X,
precedes,,X,
preceding,,X,
precipitate,,X,
precipitated,,X,
precipitates,,X,
precipitating,,X,
preconceive,,X,
preconceived,,X,
preconceives,,X,
preconceiving,,X,
predict,,X,
predicted,,X,
predicting,,X,
predicts,,X,
prefer,,,X
preferred,,,X
preferring,,,X
prefers,,,X
preoccupied,,X,
preoccupies,,X,
preoccupy,,X,
preoccupying,,X,
prepaid,X,,
prepare,,X,
prepared,,X,
prepares,,X,
preparing,,X,
prepay,X,,
prepaying,X,,
presell,,X,
preselling,,X,
presells,,X,
present,,X,
presented,,X,
presenting,,X,
presents,,X,
preserve,,X,
preserved,,X,
preserves,,X,
preserving,,X,
preside,,X,
presided,,X,
presides,,X,
presiding,,X,
presold,,X,
press,X,,
pressed,X,,
presses,X,,
pressing,X,,
pressure,,X,
pressured,,X,
pressures,,X,
pressuring,,X,
presume,,X,
presumed,,X,
presumes,,X,
presuming,,X,
pretend,,X,
pretended,,X,
pretending,,X,
pretends,,X,
prevail,,X,
prevailed,,X,
prevailing,,X,
prevails,,X,
prevent,,X,
prevented,,X,
preventing,,X,
prevents,,X,
prick,X,,
pricked,X,,
pricking,X,,
pricks,X,,
pried,X,,
pries,X,,
print,X,,
printed,X,,
printing,X,,
prints,X,,
prioritize,,X,
prioritized,,X,
prioritizes,,X,
prioritizing,,X,
proceed,,X,
proceeded,,X,
proceeding,,X,
proceeds,,X,
process,,X,
processed,,X,
processes,,X,
processing,,X,
proclaim,,X,
proclaimed,,X,
proclaiming,,X,
proclaims,,X,
procrastinate,,X,
procrastinated,,X,
procrastinates,,X,
procrastinating,,X,
procure,,X,
procured,,X,
procures,,X,
procuring,,X,
prod,,X,
prodded,,X,
prodding,,X,
prods,,X,
produce,,X,
produced,,X,
produces,,X,
producing,,X,
profess,,X,
professed,,X,
professes,,X,
professing,,X,
profit,,X,
profited,,X,
profiting,,X,
profits,,X,
program,,X,
programmed,,X,
programming,,X,
programs,,X,
progress,,X,
progresses,,X,
progressing,,X,
prohibit,,X,
prohibited,,X,
prohibiting,,X,
prohibits,,X,
project,X,,
projected,X,,
projecting,X,,
projects,X,,
prolong,,X,
prolonged,,X,
prolonging,,X,
prolongs,,X,
promise,,X,
promised,,X,
promises,,X,
promising,,X,
promote,,X,
promoted,,X,
promotes,,X,
promoting,,X,
prompt,,X,
prompted,,X,
prompting,,X,
prompts,,X,
pronounce,X,,
pronounced,X,,
pronounces,X,,
pronouncing,X,,
proofread,X,,
proofreading,X,,
proofreads,X,,
propose,,X,
proposed,,X,
proposes,,X,
proposing,,X,
prosecute,,X,
prosecuted,,X,
prosecutes,,X,
prosecuting,,X,
prosper,,X,
prospered,,X,
prospering,,X,
prospers,,X,
protect,,X,
protected,,X,
protecting,,X,
protects,,X,
protest,,X,
protested,,X,
protesting,,X,
protests,,X,
prove,,X,
proved,,X,
proven,,X,
proves,,X,
provide,,X,
provided,,X,
provides,,X,
providing,,X,
proving,,X,
provoke,,X,
provoked,,X,
provokes,,X,
provoking,,X,
prowl,X,,
prowled,X,,
prowling,X,,
prowls,X,,
pry,X,,
prying,X,,
psych,,X,
psyched,,X,
psyches,,X,
psyching,,X,
publish,,X,
published,,X,
publishes,,X,
publishing,,X,
pull,X,,
pulled,X,,
pulling,X,,
pulls,X,,
pump,X,,
pumped,X,,
pumping,X,,
pumps,X,,
punch,X,,
punched,X,,
punches,X,,
punching,X,,
puncture,X,,
punctured,X,,
punctures,X,,
puncturing,X,,
punish,,X,
punished,,X,
punishes,,X,
punishing,,X,
purchase,X,,
purchases,X,,
purchasing,X,,
purified,,X,
purifies,,X,
purify,,X,
purifying,,X,
purr,X,,
purred,X,,
purring,X,,
purrs,X,,
pursue,,X,
pursues,,X,
pursuing,,X,
push,X,,
pushed,X,,
pushes,X,,
pushing,X,,
put,X,,
puts,X,,
putting,X,,
puzzle,,X,
puzzled,,X,
puzzles,,X,
puzzling,,X,
qualified,,X,
qualifies,,X,
qualify,,X,
qualifying,,X,
quarrel,X,,
quarreled,X,,
quarreling,X,,
quarrels,X,,
quarter,X,,
quartered,X,,
quartering,X,,
quarters,X,,
quench,,X,
quenched,,X,
quenches,,X,
quenching,,X,
questioned,X,,
questioning,,X,
queue,,X,
queued,,X,
queues,,X,
queuing,,X,
quicken,X,,
quickened,X,,
quickening,X,,
quickens,X,,
quiet,X,,
quieted,X,,
quieting,X,,
quiets,X,,
quits,,X,
quitting,,X,
quote,X,,
quoted,X,,
quoting,X,,
race,X,,
raced,X,,
races,X,,
racing,X,,
radiate,X,,
radiated,X,,
radiates,X,,
radiating,X,,
rage,,X,
raged,,X,
rages,,X,
raging,,X,
raid,,X,
raided,,X,
raiding,,X,
raids,,X,
rain,X,,
rained,X,,
raining,X,,
rains,X,,
raise,,X,
raised,X,,
raises,,X,
raising,,X,
rake,X,,
raked,X,,
rakes,X,,
raking,X,,
rallied,,X,
rallies,,X,
rally,,X,
rallying,,X,
ramble,X,,
rambled,X,,
rambles,X,,
rambling,X,,
ran,X,,
rang,X,,
range,,X,
ranged,,X,
ranges,,X,
ranging,,X,
rank,,X,
ranking,,X,
ranks,,X,
rant,X,,
ranted,X,,
ranting,X,,
rants,X,,
rate,,X,
rated,,X,
rates,,X,
rating,,X,
rave,X,,
raved,X,,
raves,X,,
raving,X,,
reach,X,,
reached,X,,
reaches,X,,
reaching,X,,
reacted,X,,
reacting,X,,
reacts,X,,
read,X,,
reading,X,,
reads,X,,
realize,,X,
realized,,X,
realizes,,X,
realizing,,X,
reap,X,,
reaped,X,,
reaping,X,,
reaps,X,,
rear,X,,
reared,X,,
rearing,X,,
rears,X,,
reason,,X,
reasoned,,X,
reasoning,,X,
reasons,,X,
reassure,,,X
reassured,,,X
reassures,,,X
reassuring,,,X
rebel,,X,
rebelled,,X,
rebelling,,X,
rebels,,X,
rebuild,X,,
rebuilding,X,,
rebuilds,X,,
rebuilt,X,,
recalled,,X,
recalling,,X,
recalls,,X,
recede,,X,
receded,,X,
recedes,,X,
receding,,X,
receive,,X,
received,,X,
receives,,X,
receiving,,X,
recite,X,,
recited,X,,
recites,X,,
reciting,X,,
recognize,,X,
recognized,,X,
recognizes,,X,
recognizing,,X,
recommend,,X,
recommended,,X,
recommending,,X,
recommends,,X,
record,,X,
recorded,,X,
recording,,X,
records,,X,
recover,,X,
recovering,,X,
recovers,,X,
recruit,,X,
recruited,,X,
recruiting,,X,
recruits,,X,
redeem,,X,
redeemed,,X,
redeeming,,X,
redeems,,X,
reduce,,X,
reduced,,X,
reduces,,X,
reducing,,X,
